ProjectID,Complexiteit,Marktsegment,Gebied,Projectomschrijving,Projectmanager,Portfolio,Prognose eindstand,besteed,budget_ratio,Plandatum,Klanteis,HaalbaarheidBoolean,slack_days,risico_count,sum_ev_geld,avg_kans,n_tvps,total_tvp_hours,avg_tvp_hours,primary_geo,primary_tesi,n_taken,budget_alle_jaren
R-600186,Laag,Civiel,Zuid-Holland,MJPG Zuid-Holland Fase2 GS,Friso van Merode,O&P Landelijk,6492168.0,22507.0,0.0034667926030256765,,,,,0,0.0,0.0,1,0.0,,,,0,0.0
R-610600,Midden,Beveiliging,Landelijk,MOA Friese landschap,Lotte Wensink,Landelijk,,,,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-522709,Laag,Multi B,Noord-Oost,NABO Berkelland (210/19.683),Jost Lieuwen,Noord-Oost,908019.23,888469.59,0.9784700154422941,,,,,0,0.0,0.0,2,9.633333333333333,4.816666666666666,,,0,0.0
R-522712,Midden,Beveiliging,Noord-Oost,Nabo Bronckhorst (210/016.144)/(210/015.,Jost Lieuwen,Noord-Oost,1799577.0,2261.0,0.001256406366607264,2027-05-01,2027-06-30,True,60.0,1,1875000.0,25.0,2,104.0,52.0,,,0,0.0
R-522769,Laag,Baan,Noord-Oost,NABO Gem Rheden/Dieren 033/016.869,Jost Lieuwen,Noord-Oost,513967.51,507271.50999999995,0.9869719391406666,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-522753,Midden,Beveiliging,Randstad-Noord,NABO Lisse,Oscar Wilffert,Randstad-Noord,2033999.98,0.0,0.0,2027-09-05,2027-12-31,True,117.0,1,0.0,0.0,2,104.0,52.0,,,0,0.0
R-522860,Laag,Beveiliging,Noord-Oost,NABO Nederbetuwe/Echteld(043/027.444),Danny Hiddingh,Noord-Oost,111873.28,111873.28,1.0,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-522775,Laag,Civiel,Randstad-Noord,NABO Soest de Gouden Ploeg,Hendria Vos,Randstad-Noord,1640617.47,76468.55,0.04660961582958153,2027-10-08,2027-12-31,True,84.0,1,148750.0,15.0,2,104.0,52.0,,,0,0.0
R-631800,Hoog+,,Noord-Oost,Nedersaksenlijn,Jiska Kazius - van der Meulen,GSPP,278056.6,289456.73,1.0409993145280494,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-588020,Midden,Transfer,Landelijk,OL: Knp Den Haag laan van NOI,Alexander Pieters,Stationsprojecten,1109685.8,591885.4,0.5333810705697054,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-588010,Midden,Transfer,Landelijk,OL: Knp Leiden Centraal,Alexander Pieters,Stationsprojecten,1480765.5,873469.5,0.5898769926770985,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-588030,Midden,Transfer,Landelijk,OL: Knp Schiedam Centrum,Lieke Rubers,Stationsprojecten,1174479.73,598651.13,0.509716016980557,2026-12-31,2026-12-31,True,0.0,1,0.0,0.0,0,0.0,,,,0,0.0
R-555030,Laag,TEV,Randstad-Noord,OS Amsterdam Oost verzwaren,Sjoerd Sloterdijk,Randstad-Noord,8717437.5,47227.5,0.00541758974469275,2029-03-22,2030-08-19,True,515.0,1,0.0,5.0,0,0.0,,,,0,0.0
R-596600,Midden,Beveiliging,Landelijk,OS Maastricht en OS Schin op Geul,Soenita Soebedar,Stationsprojecten,34234.5,34234.5,1.0,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-616080,Hoog,Overig,Landelijk,OS Sloterdijk - Aansluiting,Tessa Vredeveld,O&P Landelijk,1296173.0,218356.0,0.16846208029329418,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-619400,Laag,,Randstad-Noord,Overwegveiligheid Radarweg Amsterdam,Remko Koenraads,Randstad-Noord,4326.0,22176.0,5.12621359223301,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-3AE043,Hoog,Overig,Randstad-Noord,PACS IenW COT (zie ook R-596100),Mariëlle van den Bovenkamp,GSPP,4058349.87,15094361.52,3.719334705856693,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-FRV000,Hoog,Transfer,Landelijk,PFBS Coalitieakkoord Algemeen,Bart Hofsink,Stationsprojecten,49615776.23,0.0,0.0,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-3AA006,Hoog,Multi O+B,Randstad-Noord,PHS AA Alkmaar,Frans van Wegen,GSPP,7373744.38,5763.38,0.0007816083258367576,2027-11-01,2030-08-18,True,1021.0,1,0.0,0.0,7,1874.0,267.7142857142857,,,0,0.0
R-3AA007,Hoog,,Randstad-Noord,PHS AA Overwegmaatregelen,Frans van Wegen,GSPP,710566.23,520250.37999999995,0.7321631088491216,2026-02-27,2030-08-18,True,1633.0,0,0.0,0.0,0,0.0,,,,0,0.0
R-3AA005,Hoog,Multi O+B,Randstad-Noord,PHS AA Uitgeest,Frans van Wegen,GSPP,2476.03,48534.18,19.601612258332896,2030-08-18,2030-08-18,True,0.0,0,0.0,0.0,16,3516.0,270.46153846153845,,,0,0.0
R-599100,Laag,Installaties,Zee-Zevenaar,Pilot laadpalen Kijkhoek/Botlek,Tjard Breteler,O&P Landelijk,211887.79,211887.79,1.0,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-559300,Laag,TEV,Landelijk,Pluskabels DRGL 2025,Sander Gorissen,O&P Landelijk,5747884.58,730916.9199999999,0.12716276915915384,2029-07-12,2029-05-24,False,-49.0,1,0.0,0.0,0,0.0,,,,0,0.0
M-005068,Laag,Bouwkunde,Zuid,Saneren gebouw SS Deurne,Roel van Dijk,Zuid,66666.7,0.0,0.0,,,,,0,0.0,0.0,0,0.0,,055,A17.02,1,80.0
R-522576,Laag,,Noord-Oost,Saneren NABO en aanl. kavelpad Nauta,Jost Lieuwen,Noord-Oost,1707422.09,1054207.0899999999,0.6174261749184701,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-522676,Laag,Civiel,Noord-Oost,Saneren NABO en aanl.kavelpad Dotinga,Jost Lieuwen,Noord-Oost,2094650.28,186231.06000000003,0.08890794887249628,2028-03-01,2028-12-31,True,305.0,1,0.0,0.0,4,56.0,14.0,,,0,0.0
R-616090,Laag,,Noord-Oost,Selectiviteit,Machteld van Gent,O&P Landelijk,7296.5,13426.0,1.840060302884945,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-590001,,Multi O+B,Noord-Oost,Spooraquaduct HRMK Leeuwarden MIRT,Jiska Kazius - van der Meulen,Noord-Oost,139493.15,139493.15,1.0,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-631000,Midden,Overig,Zuid,Station Roosendaal Hellingbaan,Freek Snoeren,Stationsprojecten,305377.62,152221.74,0.4984705166017077,2028-08-25,2028-12-31,True,128.0,0,0.0,0.0,0,0.0,,,,0,0.0
R-608800,Laag,,Landelijk,Stationsagenda,Jorien Maltha,Stationsprojecten,4703445.59,362891.66000000003,0.07715442924896258,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-616050,Laag,,Noord-Oost,TEV Pluskabels 2026 Oost,Sjoerd Sloterdijk,Noord-Oost,55278.85,51742.85,0.9360334015631656,2029-03-23,2027-12-31,False,-448.0,0,0.0,0.0,0,0.0,,,,0,0.0
R-596200,Midden,Overig,Randstad-Noord,UKT UKT,Luc Grooten,Stationsprojecten,187912.24,187912.24,1.0,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-603600,Hoog,Beveiliging,Noord-Oost,Verbeteren corridor Amersfoort - Bad Ben,Peter Stam,Noord-Oost,1940893.29,1894529.2000000002,0.9761119839823859,2029-05-07,2029-05-07,True,0.0,1,0.0,0.0,0,0.0,,,,0,0.0
R-590101,Hoog+,Multi O+B,Noord-Oost,Verbeteringsmaatregelen Meppel MIRT,Michel la Faille,Noord-Oost,99125732.49,2353042.42,0.023737957449518766,2038-10-01,2038-12-31,True,91.0,1,0.0,0.0,1,0.0,,,,0,0.0
E-R12100,Midden,,Landelijk,Voorbereiding Landelijke Uitrol,Maam van der Blij,Landelijk,5258247.3,266992.61,0.050775970540602,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-606600,Laag,Beveiliging,Zuid,Zevenbergschenhoek seinbeeld sein 526,Rob Bouwman,Zuid,870251.29,148041.0,0.1701129337021724,2028-01-13,,True,,0,0.0,0.0,0,0.0,,,,0,0.0
R-631900,Midden,,Zuid,2e Drielandentrein overwegmaatregelen,Rob Bouwman,Zuid,13410.0,13410.0,1.0,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-617200,Laag,Beveiliging,Randstad-Noord,Aanpassen overweg Obdam,Michiel Bikker,Randstad-Noord,6284.5,6284.5,1.0,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-628400,Midden,,Zee-Zevenaar,Alstom aansluiting HSWI Rtd,Rik Dregmans,O&P Landelijk,2432.0,2432.0,1.0,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-FD0002,Midden,Transfer,Randstad-Noord,Amf Mondriaanpl FP,Pascale Kost,Stationsprojecten,307000.03,293298.02999999997,0.9553680825373208,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-631600,Midden,,Randstad-Noord,AMS Amstel Stationsentree west,Deborah van Beek,Stationsprojecten,15433597.0,810749.1,0.05253144163347015,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-609900,Laag,,Noord-Oost,"Arnhem Berg, aanpassing tankinstallatie",Jost Lieuwen,Noord-Oost,26942.0,14612.0,0.542350233835647,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-603000,Laag,Baan,Zuid,Beveiligen overweg Zoutendijk gemeente D,Mireille Arntz,Zuid,14933.5,14933.5,1.0,,,,,0,0.0,0.0,2,104.0,52.0,,,0,0.0
R-619800,Laag,,Zee-Zevenaar,Bijzonder transport Air Products,Gerben Leskens,Zee-Zevenaar,2652.0,2652.0,1.0,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-608500,Midden,Overig,Zee-Zevenaar,Chane Overdracht HSWI Sporen,Janneke Tax,Zee-Zevenaar,26563.25,26563.25,1.0,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-599300,Midden,Overig,Randstad-Noord,De Nieuwe Kern,Camiel Meijneken,O&P Landelijk,6912.0,6912.0,1.0,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-629300,Midden,,Zuid,Deels uitplaatsen empl. Roosendaal,Frank Faassen,Zuid,284035.75,295915.1,1.041823432437642,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-616500,Laag,,Noord-Oost,Doorfietsroute Zuidlaren Haren,Richard Reitsma,Noord-Oost,14722.0,7348.0,0.49911696780328757,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-603900,Laag,Civiel,Noord-Oost,Ecofactorij Apeldoorn,Christiaan Deters,Noord-Oost,151974.0,130646.0,0.8596602050350718,2030-01-30,2030-03-01,True,30.0,0,0.0,0.0,1,4.383333333333334,4.383333333333334,,,0,0.0
R-608600,Laag,,Noord-Oost,Electrificatie Friese Lijnen,Richard Reitsma,Noord-Oost,1662367.5,82367.5,0.049548309865297534,2028-04-25,2027-09-30,False,-208.0,1,0.0,0.0,0,0.0,,,,0,0.0
R-604400,Laag,TEV,Zuid,Enexis werkzaamheden Geleen,Remko Koenraads,Zuid,47064.5,47064.5,1.0,,,,,0,0.0,0.0,9,69.6,7.7333333333333325,,,0,0.0
R-593400,Laag,Overig,Zee-Zevenaar,Evides afvalwater toezicht ontgraving,Maurice Beekhuizen,Zee-Zevenaar,8342.0,8342.0,1.0,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-617600,Laag,,Randstad-Noord,Geluidscherm Lelystad SGL Kofschip,Hendria Vos,Randstad-Noord,15139.0,2940.0,0.1942004095382786,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-599200,Midden,Civiel,Noord-Oost,Geluidscherm Reeve te Kampen,Jost Lieuwen,Noord-Oost,38145.0,38145.0,1.0,2027-11-05,2027-12-31,True,56.0,0,0.0,0.0,0,0.0,,,,0,0.0
R-593700,Laag,Civiel,Randstad-Noord,Geluidsscherm tennispark Voorhout,Albert Schoof,Randstad-Noord,1227242.5,840267.5,0.6846792708042624,2026-12-30,2026-12-31,True,1.0,1,0.0,33.0,2,152.0,76.0,,,0,0.0
R-593200,Laag,Baan,Randstad-Noord,"Gemeente Utrecht, interwijkverbinding Ni",Bas Groenendijk,Randstad-Noord,176753.5,175982.0,0.9956351642258852,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-599500,Midden,Multi B,Zuid-Holland,"Gorinchem, aanpassen overweg Banneweg",Zico Martin,Zuid-Holland,3014017.22,602081.81,0.19976057402883718,2026-12-06,2026-12-31,True,25.0,1,0.0,0.0,1,51.0,51.0,,,0,0.0
R-596800,Laag,Installaties,Landelijk,Groningen de Vork Tankinfra,Michel la Faille,Landelijk,70266.18,70266.18,1.0,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-599400,Midden,Multi O+B,Landelijk,Groningen Suikerzijde,Jiska Kazius - van der Meulen,Landelijk,0.0,0.0,,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
